Korpus;Frequency;Presentase Kemunculan;
mercury;391;0,000897917;
pierce;391;0,000897917;
devon;391;0,000897917;
aus;391;0,000897917;
reference;391;0,000897917;
balon;391;0,000897917;
buyut;391;0,000897917;
pertiwi;391;0,000897917;
marzuki;390;0,00089562;
starbucks;390;0,00089562;
maia;390;0,00089562;
yang;795050;2,429525057;
di;709509;2,168127657;
dan;629540;1,923757253;
ini;332855;1,017143026;
itu;313570;0,95821165;
dengan;312096;0,953707379;
untuk;297067;0,907781548;
dari;280966;0,858579884;
dalam;222488;0,679881983;
akan;199916;0,610906146;
pada;199537;0,609747992;
tidak;197685;0,604088624;
juga;151523;0,463026131;
ke;147189;0,449782232;
tersebut;134341;0,410521132;
ada;123893;0,378593985;
bisa;117558;0,359235402;
saat;115335;0,352442327;
jakarta;112751;0,344546104;
tahun;110474;0,337588015;
karena;109346;0,334141056;
sudah;103656;0,316753474;
menjadi;101946;0,311528031;
mereka;101297;0,309544808;
kata;97468;0,297844096;
indonesia;97053;0,296575933;
saya;91151;0,278540517;
lebih;87920;0,268667182;
atau;87362;0,266962038;
kami;84418;0,257965721;
oleh;82682;0,252660827;
sebagai;81396;0,24873105;
adalah;79658;0,243420045;
tak;74854;0,228739914;
satu;74462;0,227542035;
masih;71528;0,218576276;
orang;69588;0,212647997;
seperti;69384;0,21202461;
dia;68567;0,20952801;
namun;66874;0,204354517;
para;66777;0,204058103;
hanya;66653;0,203679182;
ia;65448;0,199996926;
mengatakan;65082;0,198878498;
dua;64541;0,197225302;
harus;61508;0,187957018;
kepada;61337;0,187434474;
lalu;61292;0,187296962;
telah;60348;0,184412274;
setelah;58808;0,17970632;
hari;58091;0,177515301;
rumah;56260;0,171920105;
warga;55244;0,168815398;
rp;54584;0,166798561;
bahwa;53764;0,164292793;
baru;52873;0,161570063;
banyak;51452;0,157227751;
2012;51040;0,155968755;
hal;50812;0,15527203;
melakukan;49948;0,152631806;
hingga;49391;0,150929718;
anda;49342;0,150779983;
menurut;49306;0,150669974;
belum;48963;0,149621829;
dapat;48873;0,149346806;
lain;47700;0,145762336;
beberapa;47338;0,144656131;
kota;47075;0,143852452;
besar;46738;0,142822643;
persen;46383;0,141737829;
sekitar;46324;0,141557536;
tim;45891;0,140234368;
kita;45646;0,139485694;
pemerintah;45524;0,139112884;
pun;45026;0,137591089;
jika;44460;0,135861498;
jalan;43671;0,133450461;
salah;43419;0,132680395;
sementara;42804;0,13080107;
bagi;42594;0,130159349;
dilakukan;42420;0,129627637;
memiliki;41871;0,127949995;
secara;41114;0,125636744;
merupakan;40821;0,12474139;
masyarakat;40582;0,124011051;
atas;40549;0,123910209;
kasus;39580;0,120949125;
terjadi;39194;0,119769581;
selama;39036;0,119286762;
sangat;38869;0,118776441;
kepala;38791;0,118538088;
negara;38428;0,117428827;
saja;37443;0,11441885;
membuat;37009;0,113092627;
korban;36882;0,112704538;
tiga;36532;0,111635003;
lagi;36330;0,111017729;
baik;35978;0,109942082;
kedua;35901;0,109706785;
waktu;35162;0,107448538;
selain;35130;0,107350752;
pemain;34453;0,105281966;
kalau;34177;0,104438561;
tetapi;34150;0,104356054;
anak;33670;0,102889263;
ujar;33447;0,102207817;
daerah;33386;0,102021412;
sampai;33128;0,101233012;
agar;32710;0,099955682;
kali;32537;0,099427026;
sama;32486;0,099271179;
tengah;32403;0,099017547;
kembali;32118;0,09814664;
sejumlah;31915;0,097526309;
ketika;31809;0,097202393;
anggota;31668;0,096771523;
serta;31558;0,096435384;
pertama;31433;0,096053407;
seorang;31433;0,096053407;
sejak;31357;0,095821165;
kpk;30838;0,094235197;
dunia;30532;0,093300118;
polisi;30451;0,093052597;
sebelumnya;30422;0,092963979;
antara;30383;0,092844802;
sehingga;30374;0,0928173;
juta;30346;0,092731737;
terhadap;30316;0,092640062;
rabu;30301;0,092594225;
sebuah;30264;0,09248116;
harga;29656;0,090623225;
semua;29556;0,090317644;
ketua;29540;0,090268751;
as;29427;0,089923444;
jadi;29381;0,089782876;
pihak;29355;0,089703425;
tetap;29268;0,089437569;
hasil;29018;0,088673616;
partai;28896;0,088300806;
presiden;28554;0,087255718;
memang;28505;0,087105983;
jawa;28503;0,087099871;
katanya;28307;0,086500932;
barat;28120;0,085929494;
kamis;28066;0,085764481;
senin;28023;0,085633081;
tempat;28009;0,085590299;
tapi;27962;0,085446676;
bersama;27903;0,085266383;
mulai;27662;0,084529932;
selasa;27638;0,084456592;
kabupaten;27550;0,08418768;
kemudian;27457;0,08390349;
depan;27435;0,083836262;
timur;27132;0,08291035;
langsung;27075;0,082736169;
terkait;26957;0,082375583;
dki;26859;0,082076113;
bulan;26667;0,081489396;
memberikan;26079;0,079692578;
bukan;26040;0,079573401;
pt;25558;0,078100499;
lainnya;25515;0,077969099;
melalui;25433;0,077718522;
minggu;25172;0,076920954;
gubernur;25134;0,076804833;
jumat;25095;0,076685657;
tinggi;25070;0,076609261;
selatan;25018;0,076450359;
negeri;24745;0,075616122;
air;24580;0,075111912;
terus;24554;0,075032461;
nasional;24220;0,074011819;
menggunakan;24154;0,073810135;
mengaku;24056;0,073510666;
ingin;24042;0,073467884;
setiap;23830;0,072820052;
berada;23648;0,072263894;
masuk;23625;0,07219361;
pernah;23465;0,07170468;
sendiri;23319;0,071258531;
umum;22985;0,070237889;
pukul;22846;0,069813131;
diri;22779;0,069608391;
luar;22552;0,068914721;
bagian;22435;0,068557191;
kerja;22312;0,068181326;
mobil;22240;0,067961307;
sekolah;22214;0,067881856;
tentang;22108;0,06755794;
kini;21908;0,066946777;
malam;21864;0,066812321;
per;21832;0,066714535;
korupsi;21701;0,066314223;
berbagai;21613;0,066045312;
perusahaan;21509;0,065727507;
bahkan;21509;0,065727507;
uang;21466;0,065596107;
pendidikan;21383;0,065342474;
menteri;21172;0,064697698;
jumlah;21153;0,064639637;
pasar;21034;0,064275995;
apa;21015;0,064217935;
empat;21012;0,064208767;
pusat;20966;0,0640682;
kawasan;20806;0,06357927;
tersangka;20795;0,063545656;
sedang;20762;0,063444814;
hukum;20692;0,063230907;
kondisi;20408;0,062363056;
sebelum;20102;0,061427976;
kantor;19814;0,060547902;
cukup;19770;0,060413446;
mencapai;19708;0,060223986;
miliar;19551;0,059744223;
yakni;19537;0,059701441;
perlu;19444;0,059417251;
pelaku;19251;0,058827479;
masalah;18993;0,058039079;
pertandingan;18849;0,057599041;
dpr;18739;0,057262902;
wakil;18730;0,057235399;
keluarga;18682;0,05708872;
lokasi;18682;0,05708872;
menit;18674;0,057064274;
mampu;18635;0,056945097;
komisi;18531;0,056627292;
desa;18506;0,056550897;
termasuk;18389;0,056193367;
bola;18318;0,055976404;
calon;18283;0,05586945;
wilayah;18240;0,05573805;
meski;18199;0,055612762;
sempat;18123;0,05538052;
kepolisian;18107;0,055331627;
mengalami;18038;0,055120776;
sabtu;18022;0,055071883;
melihat;17915;0,054744911;
lima;17756;0,054259036;
meminta;17742;0,054216255;
acara;17724;0,05416125;
perempuan;17712;0,054124581;
proses;17693;0,05406652;
gol;17682;0,054032906;
kecamatan;17649;0,053932064;
aksi;17620;0,053843446;
mendapatkan;17589;0,053748715;
badan;17482;0,053421743;
seluruh;17458;0,053348404;
demikian;17397;0,053161999;
tanpa;17350;0,053018376;
dana;17349;0,05301532;
mendapat;17303;0,052874753;
berhasil;17237;0,052673069;
program;17209;0,052587506;
2011;17121;0,052318594;
sebesar;17049;0,052098576;
terakhir;16976;0,051875501;
asal;16963;0,051835776;
sebanyak;16807;0,051359069;
datang;16796;0,051325455;
1;16733;0,051132939;
ujarnya;16698;0,051025985;
aku;16585;0,050680678;
jelas;16573;0,050644008;
tahu;16428;0,050200915;
kementerian;16364;0,050005343;
paling;16241;0,049629478;
maka;16206;0,049522524;
pasangan;16146;0,049339176;
bank;16099;0,049195552;
10;16019;0,048951087;
masa;16009;0,048920529;
mau;15995;0,048877748;
sekarang;15910;0,048618003;
akibat;15904;0,048599669;
akhirnya;15875;0,04851105;
petugas;15842;0,048410208;
musim;15794;0,048263529;
nomor;15761;0,048162687;
gedung;15573;0,047588194;
menyatakan;15565;0,047563748;
akhir;15406;0,047077873;
rasa;15359;0,04693425;
mungkin;15336;0,046863966;
yaitu;15332;0,046851743;
utama;15241;0,046573664;
sakit;15106;0,046161129;
mantan;15043;0,045968613;
bekerja;14948;0,04567831;
bermain;14911;0,045565245;
dollar;14905;0,04554691;
nama;14854;0,045391064;
begitu;14750;0,045073259;
utara;14749;0,045070203;
ibu;14615;0,044660724;
lama;14614;0,044657668;
jam;14475;0,04423291;
mengenai;14457;0,044177905;
proyek;14435;0,044110678;
selalu;14426;0,044083175;
motor;14323;0,043768426;
awal;14315;0,04374398;
pembangunan;14240;0,043514794;
the;14213;0,043432287;
punya;14184;0,043343668;
semakin;14182;0,043337557;
naik;14176;0,043319222;
kesehatan;14107;0,043108371;
sesuai;14070;0,042995305;
soal;13896;0,042463594;
polri;13880;0,042414701;
berlangsung;13858;0,042347473;
bahan;13842;0,04229858;
mahasiswa;13823;0,042240519;
inggris;13820;0,042231352;
maupun;13808;0,042194682;
cara;13744;0,04199911;
';13595;0,041543794;
laga;13581;0,041501012;
segera;13581;0,041501012;
kecil;13554;0,041418505;
dinas;13552;0,041412394;
kegiatan;13541;0,04137878;
nanti;13521;0,041317663;
ekonomi;13519;0,041311552;
tanah;13514;0,041296273;
guru;13477;0,041183208;
pelatih;13442;0,041076254;
diduga;13441;0,041073198;
siswa;13367;0,040847068;
surat;13365;0,040840956;
informasi;13334;0,040746226;
provinsi;13333;0,04074317;
adanya;13293;0,040620938;
posisi;13287;0,040602603;
pesawat;13275;0,040565933;
china;13257;0,040510928;
pekan;13254;0,040501761;
rakyat;13234;0,040440645;
ruang;13133;0,040132008;
bbm;13072;0,039945603;
membawa;13064;0,039921156;
berharap;13005;0,039740863;
penting;12958;0,03959724;
menjelaskan;12916;0,039468896;
wib;12823;0,039184705;
menerima;12803;0,039123589;
hidup;12777;0,039044138;
direktur;12675;0,038732445;
data;12654;0,038668273;
menunjukkan;12653;0,038665217;
produk;12650;0,038656049;
dirinya;12645;0,03864077;
pria;12633;0,0386041;
sistem;12525;0,038274072;
khusus;12470;0,038106003;
bawah;12456;0,038063221;
pihaknya;12448;0,038038775;
sedangkan;12410;0,037922654;
kelompok;12367;0,037791254;
eropa;12266;0,037482617;
suara;12265;0,037479561;
berdasarkan;12254;0,037445947;
turun;12253;0,037442891;
terlihat;12209;0,037308435;
2;12182;0,037225928;
bidang;12170;0,037189258;
amerika;12137;0,037088417;
merasa;12123;0,037045635;
ketiga;12103;0,036984519;
melawan;12090;0,036944793;
sebagian;12031;0,0367645;
anggaran;12030;0,036761444;
film;12026;0,036749221;
memberi;11921;0,036428361;
dewan;11911;0,036397803;
membantu;11899;0,036361133;
pagi;11888;0,036327519;
biasa;11852;0,03621751;
hotel;11850;0,036211398;
unit;11753;0,035914984;
20;11753;0,035914984;
milik;11725;0,035829421;
jauh;11595;0,035432165;
kendaraan;11456;0,035007407;
makanan;11437;0,034949347;
poin;11431;0,034931012;
3;11372;0,034750719;
tampil;11371;0,034747663;
api;11358;0,034707937;
anak-anak;11348;0,034677379;
jaya;11345;0,034668212;
jangan;11333;0,034631542;
media;11300;0,0345307;
jenis;11280;0,034469584;
digunakan;11268;0,034432914;
memilih;11251;0,034380965;
babak;11245;0,03436263;
usaha;11224;0,034298458;
muda;11214;0,0342679;
kurang;11210;0,034255677;
sering;11199;0,034222063;
apakah;11190;0,034194561;
wartawan;11159;0,03409983;
meter;11135;0,034026491;
barang;11126;0,033998988;
enam;11105;0,033934816;
ikut;11082;0,033864533;
politik;11023;0,03368424;
kejadian;11017;0,033665905;
budaya;10998;0,033607844;
polda;10994;0,033595621;
kapal;10984;0,033565063;
minyak;10983;0,033562007;
menuju;10980;0,03355284;
mata;10948;0,033455054;
lanjut;10919;0,033366435;
bali;10900;0,033308374;
juara;10881;0,033250314;
dulu;10873;0,033225867;
diketahui;10800;0,033002793;
laporan;10780;0,032941677;
nilai;10763;0,032889728;
ditemukan;10745;0,032834723;
liga;10745;0,032834723;
makan;10660;0,032574979;
klub;10599;0,032388574;
internasional;10587;0,032351905;
tingkat;10585;0,032345793;
universitas;10545;0,03222356;
jokowi;10520;0,032147165;
sebenarnya;10519;0,032144109;
dugaan;10500;0,032086049;
rencana;10498;0,032079937;
biaya;10449;0,031930202;
keputusan;10443;0,031911867;
berbeda;10422;0,031847695;
kenaikan;10375;0,031704072;
malaysia;10374;0,031701016;
piala;10352;0,031633788;
ternyata;10339;0,031594063;
tinggal;10298;0,031468774;
tubuh;10296;0,031462663;
pertemuan;10286;0,031432105;
mana;10282;0,031419881;
jalur;10258;0,031346542;
30;10254;0,031334319;
tangan;10228;0,031254867;
pengadilan;10203;0,031178472;
lembaga;10200;0,031169305;
ya;10145;0,031001235;
meningkatkan;10141;0,030989012;
sekali;10109;0,030891225;
mencari;10098;0,030857611;
upaya;10071;0,030775105;
pasal;10052;0,030717044;
padahal;10051;0,030713988;
mengikuti;10051;0,030713988;
industri;10043;0,030689542;
serikat;10033;0,030658984;
mengungkapkan;10014;0,030600923;
pemeriksaan;10013;0,030597867;
kelas;10001;0,030561198;
lapangan;9984;0,030509249;
5;9974;0,030478691;
mudah;9932;0,030350346;
terlalu;9888;0,030215891;
keuangan;9873;0,030170053;
siap;9833;0,030047821;
cepat;9832;0,030044765;
menambahkan;9816;0,029995872;
bambang;9801;0,029950035;
bagaimana;9786;0,029904197;
kesempatan;9746;0,029781965;
berat;9700;0,029641397;
terutama;9593;0,029314425;
metro;9579;0,029271644;
misalnya;9571;0,029247197;
menilai;9550;0,029183025;
keluar;9537;0,0291433;
demokrat;9521;0,029094407;
tewas;9514;0,029073016;
dekat;9500;0,029030235;
perjalanan;9481;0,028972174;
angka;9471;0,028941616;
peserta;9470;0,02893856;
pulau;9466;0,028926337;
menemukan;9463;0,028917169;
mendatang;9448;0,028871332;
hakim;9440;0,028846886;
sepeda;9406;0,028742988;
setempat;9364;0,028614644;
berusia;9348;0,028565751;
penumpang;9334;0,028522969;
terbaik;9333;0,028519914;
pasti;9322;0,0284863;
masing-masing;9321;0,028483244;
kemenangan;9320;0,028480188;
sepanjang;9306;0,028437407;
menjalani;9284;0,028370179;
berjalan;9278;0,028351844;
rapat;9265;0,028312118;
bantuan;9265;0,028312118;
justru;9226;0,028192942;
biasanya;9222;0,028180718;
kebutuhan;9221;0,028177662;
jenderal;9216;0,028162383;
digelar;9207;0,028134881;
laut;9191;0,028085988;
total;9183;0,028061542;
15;9142;0,027936253;
sosial;9108;0,027832355;
asia;9103;0,027817076;
resmi;9085;0,027762072;
kemarin;9063;0,027694844;
wisata;9045;0,027639839;
keamanan;9037;0,027615393;
mengambil;9036;0,027612337;
jepang;8999;0,027499272;
sulit;8978;0,0274351;
daya;8961;0,027383151;
pula;8961;0,027383151;
sumber;8959;0,027377039;
pemilihan;8931;0,027291476;
hubungan;8909;0,027224248;
komisaris;8907;0,027218137;
kompas.com;8902;0,027202858;
triliun;8899;0,02719369;
emas;8898;0,027190634;
final;8849;0,0270409;
meraih;8834;0,026995062;
siang;8820;0,026952281;
bentuk;8818;0,026946169;
2013;8794;0,02687283;
lingkungan;8776;0,026817825;
kaki;8748;0,026732262;
keras;8671;0,026496965;
sedikit;8670;0,026493909;
hampir;8663;0,026472518;
kemungkinan;8653;0,02644196;
saksi;8643;0,026411402;
of;8611;0,026313616;
hak;8607;0,026301393;
city;8591;0,0262525;
operasi;8588;0,026243332;
sepak;8576;0,026206662;
mendukung;8571;0,026191383;
panjang;8566;0,026176104;
kebijakan;8548;0,0261211;
apalagi;8541;0,026099709;
grup;8530;0,026066095;
bila;8529;0,026063039;
menghadapi;8518;0,026029425;
enggak;8499;0,025971365;
bandung;8486;0,025931639;
keduanya;8472;0,025888858;
manusia;8443;0,025800239;
2010;8432;0,025766625;
kan;8393;0,025647448;
12;8386;0,025626058;
keterangan;8385;0,025623002;
menarik;8377;0,025598555;
serangan;8372;0,025583276;
saham;8371;0,02558022;
diberikan;8349;0,025512993;
agung;8318;0,025418262;
publik;8312;0,025399927;
pejabat;8305;0,025378537;
merah;8270;0,025271583;
tni;8267;0,025262416;
tentu;8237;0,025170741;
i;8227;0,025140183;
100;8210;0,025088234;
sebab;8209;0,025085179;
bisnis;8201;0,025060732;
ungkap;8180;0,02499656;
listrik;8155;0,024920165;
australia;8149;0,02490183;
dukungan;8110;0,024782653;
arah;8104;0,024764318;
lewat;8095;0,024736816;
bukti;8077;0,024681811;
belakang;8072;0,024666532;
meskipun;8032;0,024544299;
italia;8027;0,02452902;
surabaya;8020;0,02450763;
buku;8017;0,024498462;
pengguna;8016;0,024495406;
olahraga;8016;0,024495406;
menurutnya;8012;0,024483183;
hadir;8009;0,024474016;
perdagangan;8005;0,024461792;
gunung;7975;0,024370118;
teknologi;7973;0,024364006;
warna;7957;0,024315113;
terdapat;7943;0,024272332;
buruh;7923;0,024211216;
raya;7921;0,024205104;
lahan;7916;0,024189825;
sekaligus;7912;0,024177602;
spanyol;7897;0,024131765;
alat;7896;0,024128709;
membangun;7888;0,024104262;
bupati;7874;0,024061481;
massa;7860;0,024018699;
menunggu;7855;0,02400342;
aceh;7844;0,023969806;
bagus;7818;0,023890355;
usia;7791;0,023807848;
bakal;7786;0,023792569;
disampaikan;7773;0,023752844;
tenaga;7772;0,023749788;
kuat;7765;0,023728397;
tadi;7745;0,023667281;
peluang;7745;0,023667281;
aparat;7719;0,02358783;
pidana;7717;0,023581718;
penelitian;7704;0,023541992;
polres;7695;0,02351449;
menyebutkan;7694;0,023511434;
peristiwa;7689;0,023496155;
terlibat;7688;0,023493099;
bakar;7666;0,023425871;
sini;7666;0,023425871;
berasal;7665;0,023422816;
sisi;7658;0,023401425;
kampung;7639;0,023343364;
pers;7634;0,023328085;
siapa;7617;0,023276137;
langkah;7596;0,023211964;
pimpinan;7594;0,023205853;
alasan;7571;0,023135569;
gelar;7567;0,023123346;
sidang;7555;0,023086676;
terbuka;7553;0,023080564;
adapun;7551;0,023074453;
dianggap;7549;0,023068341;
tepat;7549;0,023068341;
membuka;7528;0,023004169;
sulawesi;7500;0,022918606;
menolak;7487;0,022878881;
bertemu;7480;0,02285749;
bus;7474;0,022839155;
dibandingkan;7466;0,022814709;
membeli;7464;0,022808597;
kompas;7453;0,022774983;
tampak;7425;0,02268942;
asing;7407;0,022634416;
berusaha;7402;0,022619136;
kartu;7398;0,022606913;
pemberantasan;7393;0,022591634;
sang;7373;0,022530518;
memenuhi;7370;0,02252135;
bayi;7366;0,022509127;
diperkirakan;7355;0,022475513;
pebalap;7353;0,022469402;
tindak;7353;0,022469402;
pernyataan;7352;0,022466346;
dprd;7351;0,02246329;
4;7350;0,022460234;
perubahan;7327;0,02238995;
lintas;7321;0,022371616;
kebakaran;7296;0,02229522;
tujuh;7265;0,02220049;
jerman;7231;0,022096592;
diharapkan;7226;0,022081313;
menang;7215;0,022047699;
putih;7210;0,02203242;
situs;7154;0,021861295;
produksi;7151;0,021852127;
tutur;7144;0,021830736;
dinilai;7138;0,021812402;
kamar;7117;0,021748229;
milan;7107;0,021717671;
berupa;7095;0,021681002;
disebut;7087;0,021656555;
dokter;7083;0,021644332;
yogyakarta;7081;0,02163822;
tanggal;7061;0,021577104;
pilkada;7060;0,021574048;
madrid;7058;0,021567936;
penyidik;7045;0,021528211;
pantai;7031;0,021485429;
menggelar;7011;0,021424313;
undang-undang;6989;0,021357085;
menyebabkan;6984;0,021341806;
penyakit;6981;0,021332639;
menjaga;6973;0,021308192;
kecelakaan;6948;0,021231797;
muncul;6942;0,021213462;
sektor;6940;0,02120735;
6;6932;0,021182904;
bangunan;6929;0,021173736;
gagal;6917;0,021137067;
bernama;6912;0,021121788;
mengetahui;6905;0,021100397;
semarang;6889;0,021051504;
antaranya;6886;0,021042336;
buah;6872;0,020999555;
karya;6865;0,020978164;
sana;6864;0,020975108;
dini;6863;0,020972053;
gawang;6847;0,02092316;
boleh;6840;0,020901769;
meningkat;6831;0,020874267;
seharusnya;6823;0,02084982;
belajar;6814;0,020822318;
luka;6805;0,020794815;
ikan;6798;0,020773425;
bandara;6777;0,020709253;
banjir;6776;0,020706197;
senjata;6762;0,020663415;
musik;6754;0,020638969;
chelsea;6735;0,020580908;
sungai;6734;0,020577853;
50;6720;0,020535071;
diberitakan;6687;0,020434229;
selanjutnya;6676;0,020400615;
dibawa;6660;0,020351722;
kalah;6655;0,020336443;
8;6641;0,020293662;
juni;6623;0,020238657;
kekerasan;6616;0,020217267;
permainan;6612;0,020205043;
barcelona;6607;0,020189764;
taman;6596;0,02015615;
alam;6596;0,02015615;
pemilik;6596;0,02015615;
bicara;6577;0,02009809;
atlet;6576;0,020095034;
penuh;6566;0,020064476;
latihan;6552;0,020021694;
kulit;6551;0,020018639;
pengembangan;6547;0,020006415;
bahasa;6539;0,019981969;
papua;6530;0,019954467;
mencetak;6526;0,019942243;
lampung;6517;0,019914741;
lagu;6507;0,019884183;
perancis;6496;0,019850569;
kiri;6481;0,019804732;
dasar;6477;0,019792508;
pemimpin;6473;0,019780285;
stadion;6468;0,019765006;
wanita;6468;0,019765006;
kelurahan;6467;0,01976195;
oktober;6464;0,019752783;
ditangkap;6457;0,019731392;
kalimantan;6439;0,019676387;
indeks;6438;0,019673332;
bogor;6435;0,019664164;
pekerjaan;6392;0,019532764;
hujan;6381;0,01949915;
ratusan;6366;0,019453313;
meninggal;6364;0,019447201;
menegaskan;6361;0,019438034;
sore;6354;0,019416643;
dikenal;6349;0,019401364;
terdakwa;6346;0,019392197;
kereta;6338;0,01936775;
berita;6330;0,019343304;
25;6300;0,019251629;
perwakilan;6297;0,019242462;
pekerja;6289;0,019218015;
pilihan;6286;0,019208848;
penjualan;6285;0,019205792;
pengunjung;6270;0,019159955;
selesai;6255;0,019114118;
september;6249;0,019095783;
7;6237;0,019059113;
puluhan;6234;0,019049946;
gas;6218;0,019001053;
kanan;6214;0,018988829;
tidur;6214;0,018988829;
pasalnya;6213;0,018985773;
delapan;6201;0,018949104;
memastikan;6186;0,018903266;
permintaan;6180;0,018884932;
penjara;6161;0,018826871;
benar;6149;0,018790201;
bangsa;6141;0,018765755;
solo;6126;0,018719918;
pertumbuhan;6125;0,018716862;
juli;6122;0,018707694;
lokal;6120;0,018701583;
iii;6105;0,018655746;
foto;6100;0,018640466;
januari;6090;0,018609908;
ii;6083;0,018588518;
tujuan;6070;0,018548792;
mencoba;6069;0,018545736;
sumatera;6068;0,01854268;
si;6044;0,018469341;
menyampaikan;6032;0,018432671;
yakin;6026;0,018414336;
hukuman;6020;0,018396001;
11;6020;0,018396001;
tegas;6016;0,018383778;
desember;6011;0,018368499;
seusai;6011;0,018368499;
peningkatan;6002;0,018340997;
tindakan;6001;0,018337941;
positif;5999;0,018331829;
aktivitas;5995;0,018319606;
energi;5990;0,018304327;
singapura;5986;0,018292104;
kemampuan;5982;0,01827988;
pintu;5972;0,018249322;
malang;5971;0,018246266;
tugas;5968;0,018237099;
olimpiade;5967;0,018234043;
pak;5960;0,018212652;
level;5956;0,018200429;
16;5936;0,018139313;
izin;5931;0,018124034;
pajak;5919;0,018087364;
ri;5898;0,018023192;
mengakui;5892;0,018004857;
pengusaha;5880;0,017968187;
pariwisata;5869;0,017934573;
usai;5869;0,017934573;
sambil;5868;0,017931518;
kontrak;5867;0,017928462;
rusia;5867;0,017928462;
bebas;5859;0,017904015;
kualitas;5857;0,017897904;
sehat;5853;0,01788568;
pemilu;5849;0,017873457;
batu;5846;0,01786429;
perangkat;5833;0,017824564;
uu;5823;0,017794006;
melaporkan;5820;0,017784838;
layanan;5809;0,017751225;
udara;5791;0,01769622;
sukses;5789;0,017690108;
april;5788;0,017687052;
istri;5782;0,017668718;
memutuskan;5780;0,017662606;
mei;5755;0,017586211;
korea;5753;0,017580099;
seni;5752;0,017577043;
ditemui;5734;0,017522038;
pemuda;5730;0,017509815;
november;5727;0,017500648;
darah;5725;0,017494536;
kebudayaan;5725;0,017494536;
target;5709;0,017445643;
uji;5705;0,01743342;
menjelang;5683;0,017366192;
timnas;5672;0,017332578;
khususnya;5670;0,017326466;
golkar;5664;0,017308131;
pedagang;5663;0,017305076;
penggunaan;5660;0,017295908;
menambah;5657;0,017286741;
petani;5649;0,017262294;
peringkat;5647;0,017256183;
penerbangan;5646;0,017253127;
medan;5637;0,017225624;
sekretaris;5625;0,017188955;
joko;5621;0,017176731;
agus;5613;0,017152285;
yudhoyono;5612;0,017149229;
nazaruddin;5611;0,017146173;
kpu;5610;0,017143117;
meninggalkan;5594;0,017094224;
titik;5593;0,017091169;
aplikasi;5587;0,017072834;
kalangan;5581;0,017054499;
kampanye;5574;0,017033108;
berarti;5551;0,016962824;
jawab;5549;0,016956713;
senilai;5542;0,016935322;
manchester;5533;0,01690782;
dimulai;5526;0,016886429;
24;5526;0,016886429;
hutan;5518;0,016861983;
agustus;5507;0,016828369;
london;5506;0,016825313;
maret;5506;0,016825313;
peraturan;5493;0,016785587;
narkoba;5493;0,016785587;
bumi;5490;0,01677642;
rendah;5482;0,016751973;
alias;5481;0,016748917;
aturan;5473;0,016724471;
tua;5451;0,016657243;
islam;5451;0,016657243;
wisatawan;5445;0,016638908;
demi;5438;0,016617517;
diterima;5431;0,016596127;
suatu;5425;0,016577792;
belanda;5425;0,016577792;
dibuat;5413;0,016541122;
kilometer;5411;0,01653501;
fasilitas;5409;0,016528899;
jaringan;5405;0,016516676;
mengeluarkan;5403;0,016510564;
bertahan;5398;0,016495285;
tiba;5389;0,016467783;
a;5388;0,016464727;
pulang;5387;0,016461671;
tenggara;5384;0,016452503;
andi;5370;0,016409722;
jaksa;5366;0,016397499;
investasi;5364;0,016391387;
40;5338;0,016311936;
fraksi;5322;0,016263043;
agama;5283;0,016143866;
kerap;5277;0,016125531;
stasiun;5276;0,016122476;
2009;5265;0,016088862;
suap;5265;0,016088862;
terdiri;5254;0,016055248;
membutuhkan;5250;0,016043024;
pelaksanaan;5242;0,016018578;
wali;5236;0,016000243;
putri;5230;0,015981908;
pegawai;5222;0,015957462;
penduduk;5222;0,015957462;
melanjutkan;5216;0,015939127;
obat;5213;0,015929959;
ajang;5211;0,015923848;
perhatian;5208;0,01591468;
humas;5204;0,015902457;
budi;5201;0,01589329;
18;5195;0,015874955;
and;5181;0,015832173;
kehilangan;5175;0,015813838;
diperiksa;5169;0,015795503;
buruk;5154;0,015749666;
hitam;5152;0,015743555;
jatuh;5144;0,015719108;
14;5144;0,015719108;
fauzi;5143;0,015716052;
terbesar;5127;0,015667159;
john;5126;0,015664103;
terbukti;5123;0,015654936;
apple;5114;0,015627434;
tertentu;5109;0,015612155;
militer;5108;0,015609099;
dihubungi;5097;0,015575485;
pelayanan;5081;0,015526592;
unggul;5080;0,015523536;
mengurangi;5080;0,015523536;
tambahan;5079;0,01552048;
menikmati;5065;0,015477699;
13;5058;0,015456308;
catatan;5055;0,015447141;
susilo;5053;0,015441029;
tambah;5052;0,015437973;
melibatkan;5050;0,015431862;
puncak;5050;0,015431862;
bintang;5049;0,015428806;
potensi;5040;0,015401303;
diikuti;5035;0,015386024;
festival;5033;0,015379913;
bergerak;5029;0,015367689;
gaya;5026;0,015358522;
penghargaan;5006;0,015297406;
daging;5005;0,01529435;
17;5000;0,015279071;
tahanan;4997;0,015269903;
mesin;4996;0,015266848;
pelabuhan;4988;0,015242401;
lolos;4984;0,015230178;
sejarah;4984;0,015230178;
lakukan;4983;0,015227122;
survei;4981;0,01522101;
ancaman;4976;0,015205731;
senang;4969;0,015184341;
global;4968;0,015181285;
perdana;4968;0,015181285;
mengembangkan;4966;0,015175173;
pribadi;4955;0,015141559;
saling;4954;0,015138503;
kehidupan;4951;0,015129336;
